record_id,road_id,road_name,segment_name,area,road_class,segment_length_km,center_lat,center_lon,distance_from_aust_km,day_of_week,day_type,hour,time_slot,weather_condition,congestion_index_0_100,traffic_level,db_traffic_level,avg_speed_car_kph,avg_speed_motorbike_kph,avg_speed_rickshaw_kph,avg_speed_bus_kph,avg_speed_walk_kph,travel_min_per_km_car,travel_min_per_km_motorbike,travel_min_per_km_rickshaw,travel_min_per_km_bus,travel_min_per_km_walk,bus_available,expected_bus_wait_min,road_condition_score_0_100,synthetic_hazard_probability,data_status,notes
T0000011,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,10,10:00,Clear,93,Severe,SEVERE,4,13.6,7.2,4,4.7,15.0,4.417,8.376,15.0,12.766,0,,80,0.174,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000012,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,11,11:00,Clear,73,Heavy,HEAVY,8.0,16.0,8.0,5.0,4.7,7.492,3.741,7.511,11.966,12.766,0,,77,0.135,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000013,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,12,12:00,Clear,65,Heavy,HEAVY,9.7,17.0,8.3,6.0,4.7,6.216,3.525,7.213,9.929,12.766,0,,80,0.125,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000014,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,13,13:00,Clear,69,Heavy,HEAVY,8.8,16.5,8.2,5.5,4.7,6.795,3.63,7.359,10.853,12.766,0,,70,0.165,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000015,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,14,14:00,Clear,62,Heavy,HEAVY,10.3,17.4,8.4,6.4,4.7,5.843,3.451,7.107,9.333,12.766,0,,81,0.135,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000016,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,15,15:00,Clear,64,Heavy,HEAVY,9.9,17.1,8.4,6.2,4.7,6.087,3.5,7.177,9.722,12.766,0,,79,0.132,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000017,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,16,16:00,Clear,68,Heavy,HEAVY,9.0,16.7,8.2,5.7,4.7,6.64,3.603,7.322,10.606,12.766,0,,73,0.142,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000018,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,17,17:00,Clear,89,Severe,SEVERE,4.7,14.1,7.3,4,4.7,12.703,4.263,8.187,15.0,12.766,0,,76,0.183,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000019,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,18,18:00,Rain,97,Severe,SEVERE,4,13.1,7.0,4,4.7,15.0,4.583,8.573,15.0,12.766,0,,78,0.222,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000020,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,19,19:00,Clear,97,Severe,SEVERE,4,13.1,7.0,4,4.7,15.0,4.583,8.573,15.0,12.766,0,,88,0.209,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000021,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,20,20:00,Clear,97,Severe,SEVERE,4,13.1,7.0,4,4.7,15.0,4.583,8.573,15.0,12.766,0,,80,0.211,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000022,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,21,21:00,Clear,77,Heavy,HEAVY,7.2,15.5,7.8,4.5,4.7,8.348,3.859,7.669,13.333,12.766,0,,82,0.159,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000023,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,22,22:00,Clear,63,Heavy,HEAVY,10.1,17.3,8.4,6.3,4.7,5.963,3.475,7.142,9.524,12.766,0,,73,0.148,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000024,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,23,23:00,Clear,44,Moderate,MODERATE,14.0,19.6,9.2,8.7,4.7,4.297,3.062,6.532,6.863,12.766,0,,82,0.113,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000025,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,0,00:00,Clear,37,Light,MODERATE,15.4,20.5,9.5,9.6,4.7,3.896,2.933,6.333,6.222,12.766,0,,66,0.074,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000026,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,1,01:00,Clear,17,Free,LOW,19.5,22.9,10.3,12.2,4.7,3.076,2.619,5.826,4.912,12.766,0,,82,0.048,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000027,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,2,02:00,Clear,20,Light,LOW,18.9,22.5,10.2,11.8,4.7,3.176,2.661,5.897,5.072,12.766,0,,77,0.071,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000028,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,3,03:00,Clear,22,Light,LOW,18.5,22.3,10.1,11.6,4.7,3.246,2.691,5.945,5.185,12.766,0,,79,0.067,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000029,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,4,04:00,Clear,20,Light,LOW,18.9,22.5,10.2,11.8,4.7,3.176,2.661,5.897,5.072,12.766,0,,76,0.075,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000030,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,5,05:00,Clear,16,Free,LOW,19.7,23.0,10.3,12.3,4.7,3.043,2.605,5.803,4.861,12.766,0,,71,0.072,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000031,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,6,06:00,Rain,59,Moderate,HEAVY,10.9,17.8,8.6,6.8,4.7,5.513,3.379,7.004,8.805,12.766,0,,82,0.167,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000032,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,7,07:00,Clear,59,Moderate,HEAVY,10.9,17.8,8.6,6.8,4.7,5.513,3.379,7.004,8.805,12.766,0,,67,0.145,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000033,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,8,08:00,Clear,85,Severe,SEVERE,5.5,14.6,7.5,4,4.7,10.821,4.12,8.007,15.0,12.766,0,,83,0.177,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000034,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,9,09:00,Clear,95,Severe,SEVERE,4,13.3,7.1,4,4.7,15.0,4.499,8.473,15.0,12.766,0,,77,0.187,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000035,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,10,10:00,Clear,85,Severe,SEVERE,5.5,14.6,7.5,4,4.7,10.821,4.12,8.007,15.0,12.766,0,,79,0.166,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000036,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,11,11:00,Clear,71,Heavy,HEAVY,8.4,16.3,8.1,5.3,4.7,7.126,3.685,7.434,11.382,12.766,0,,79,0.156,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000037,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,12,12:00,Clear,71,Heavy,HEAVY,8.4,16.3,8.1,5.3,4.7,7.126,3.685,7.434,11.382,12.766,0,,82,0.141,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000038,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,13,13:00,Clear,60,Heavy,HEAVY,10.7,17.6,8.5,6.7,4.7,5.619,3.403,7.038,8.974,12.766,0,,73,0.136,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000039,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,14,14:00,Rain,75,Heavy,HEAVY,7.6,15.8,7.9,4.8,4.7,7.897,3.799,7.589,12.613,12.766,0,,74,0.199,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000040,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,15,15:00,Rain,82,Severe,SEVERE,6.2,14.9,7.6,4,4.7,9.739,4.018,7.877,15.0,12.766,0,,82,0.225,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000041,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,16,16:00,Clear,69,Heavy,HEAVY,8.8,16.5,8.2,5.5,4.7,6.795,3.63,7.359,10.853,12.766,0,,83,0.131,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000042,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,17,17:00,Clear,78,Heavy,HEAVY,7.0,15.4,7.8,4.4,4.7,8.593,3.89,7.71,13.725,12.766,0,,82,0.151,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000043,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,18,18:00,Clear,98,Severe,SEVERE,4,13.0,7.0,4,4.7,15.0,4.627,8.624,15.0,12.766,0,,83,0.184,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000044,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,19,19:00,Clear,98,Severe,SEVERE,4,13.0,7.0,4,4.7,15.0,4.627,8.624,15.0,12.766,0,,90,0.188,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000045,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,20,20:00,Clear,98,Severe,SEVERE,4,13.0,7.0,4,4.7,15.0,4.627,8.624,15.0,12.766,0,,77,0.203,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000046,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,21,21:00,Rain,88,Severe,SEVERE,4.9,14.2,7.4,4,4.7,12.174,4.226,8.141,15.0,12.766,0,,78,0.205,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000047,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,22,22:00,Clear,64,Heavy,HEAVY,9.9,17.1,8.4,6.2,4.7,6.087,3.5,7.177,9.722,12.766,0,,77,0.136,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000048,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Tuesday,Weekday,23,23:00,Clear,52,Moderate,MODERATE,12.3,18.6,8.9,7.7,4.7,4.87,3.223,6.776,7.778,12.766,0,,77,0.1,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000049,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,0,00:00,Clear,41,Moderate,MODERATE,14.6,20.0,9.3,9.1,4.7,4.115,3.005,6.446,6.573,12.766,0,,71,0.112,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000050,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,1,01:00,Clear,23,Light,LOW,18.3,22.2,10.1,11.4,4.7,3.283,2.706,5.969,5.243,12.766,0,,79,0.05,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000051,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,2,02:00,Clear,18,Free,LOW,19.3,22.8,10.3,12.1,4.7,3.108,2.633,5.849,4.965,12.766,0,,78,0.075,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000052,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,3,03:00,Clear,11,Free,LOW,20.7,23.6,10.5,13.0,4.7,2.893,2.537,5.689,4.62,12.766,0,,81,0.036,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000053,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,4,04:00,Rain,26,Light,LOW,17.7,21.8,9.9,11.1,4.7,3.397,2.751,6.044,5.426,12.766,0,,92,0.113,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000054,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,5,05:00,Rain,32,Light,MODERATE,16.4,21.1,9.7,10.3,4.7,3.652,2.847,6.198,5.833,12.766,0,,80,0.107,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000055,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,6,06:00,Clear,46,Moderate,MODERATE,13.6,19.4,9.1,8.5,4.7,4.427,3.1,6.592,7.071,12.766,0,,74,0.106,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000056,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,7,07:00,Clear,55,Moderate,HEAVY,11.7,18.2,8.7,7.3,4.7,5.126,3.288,6.872,8.187,12.766,0,,79,0.134,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000057,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,8,08:00,Clear,91,Severe,SEVERE,4.3,13.8,7.2,4,4.7,13.913,4.339,8.28,15.0,12.766,0,,78,0.196,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000058,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,9,09:00,Clear,97,Severe,SEVERE,4,13.1,7.0,4,4.7,15.0,4.583,8.573,15.0,12.766,0,,77,0.186,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000059,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,10,10:00,Clear,88,Severe,SEVERE,4.9,14.2,7.4,4,4.7,12.174,4.226,8.141,15.0,12.766,0,,71,0.188,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000060,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,11,11:00,Clear,66,Heavy,HEAVY,9.4,16.9,8.3,5.9,4.7,6.352,3.551,7.249,10.145,12.766,0,,76,0.145,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000061,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,12,12:00,Clear,65,Heavy,HEAVY,9.7,17.0,8.3,6.0,4.7,6.216,3.525,7.213,9.929,12.766,0,,80,0.148,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000062,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,13,13:00,Rain,69,Heavy,HEAVY,8.8,16.5,8.2,5.5,4.7,6.795,3.63,7.359,10.853,12.766,0,,80,0.189,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000063,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,14,14:00,Clear,63,Heavy,HEAVY,10.1,17.3,8.4,6.3,4.7,5.963,3.475,7.142,9.524,12.766,0,,79,0.147,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000064,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,15,15:00,Clear,69,Heavy,HEAVY,8.8,16.5,8.2,5.5,4.7,6.795,3.63,7.359,10.853,12.766,0,,74,0.134,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000065,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,16,16:00,Rain,77,Heavy,HEAVY,7.2,15.5,7.8,4.5,4.7,8.348,3.859,7.669,13.333,12.766,0,,70,0.182,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000066,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Wednesday,Weekday,17,17:00,Clear,88,Severe,SEVERE,4.9,14.2,7.4,4,4.7,12.174,4.226,8.141,15.0,12.766,0,,73,0.194,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
